"region","age","sex","2019"
"04 Södermanland county","38 years","men",1655.0
"04 Södermanland county","38 years","women",1656.0
"04 Södermanland county","39 years","men",1695.5
"04 Södermanland county","39 years","women",1735.0
"04 Södermanland county","40 years","men",1707.0
"04 Södermanland county","40 years","women",1561.5
"04 Södermanland county","41 years","men",1701.0
"04 Södermanland county","41 years","women",1669.5
"04 Södermanland county","42 years","men",1724.0
"04 Södermanland county","42 years","women",1614.5
"04 Södermanland county","43 years","men",1674.0
"04 Södermanland county","43 years","women",1606.5
"04 Södermanland county","44 years","men",1781.0
"04 Södermanland county","44 years","women",1766.5
"04 Södermanland county","45 years","men",1850.0
"04 Södermanland county","45 years","women",1932.5
"04 Södermanland county","46 years","men",1819.5
"04 Södermanland county","46 years","women",1773.5
"04 Södermanland county","47 years","men",1916.5
"04 Södermanland county","47 years","women",1879.0
"04 Södermanland county","48 years","men",1857.5
"04 Södermanland county","48 years","women",1884.0
"04 Södermanland county","49 years","men",1838.5
"04 Södermanland county","49 years","women",1886.0
"04 Södermanland county","50 years","men",1793.0
"04 Södermanland county","50 years","women",1828.0
"04 Södermanland county","51 years","men",1994.5
"04 Södermanland county","51 years","women",1855.5
"04 Södermanland county","52 years","men",2129.5
"04 Södermanland county","52 years","women",1958.0
"04 Södermanland county","53 years","men",2051.5
"04 Södermanland county","53 years","women",1981.5
"04 Södermanland county","54 years","men",2058.0
"04 Södermanland county","54 years","women",1964.0
"04 Södermanland county","55 years","men",2038.5
"04 Södermanland county","55 years","women",2006.5
"04 Södermanland county","56 years","men",1816.5
"04 Södermanland county","56 years","women",1801.0
"04 Södermanland county","57 years","men",1875.5
"04 Södermanland county","57 years","women",1778.0
"04 Södermanland county","58 years","men",1764.0
"04 Södermanland county","58 years","women",1665.0
"04 Södermanland county","59 years","men",1741.5
"04 Södermanland county","59 years","women",1715.5
"04 Södermanland county","60 years","men",1753.5
"04 Södermanland county","60 years","women",1718.5
"04 Södermanland county","61 years","men",1697.5
"04 Södermanland county","61 years","women",1751.5
"04 Södermanland county","62 years","men",1718.0
"04 Södermanland county","62 years","women",1697.5
"04 Södermanland county","63 years","men",1746.5
"04 Södermanland county","63 years","women",1731.5
"04 Södermanland county","64 years","men",1694.5
"04 Södermanland county","64 years","women",1754.5
"04 Södermanland county","65 years","men",1614.0
"04 Södermanland county","65 years","women",1639.5
"04 Södermanland county","66 years","men",1681.0
"04 Södermanland county","66 years","women",1747.5
"04 Södermanland county","67 years","men",1701.0
"04 Södermanland county","67 years","women",1751.0
"04 Södermanland county","68 years","men",1659.5
"04 Södermanland county","68 years","women",1767.0
"04 Södermanland county","69 years","men",1747.5
"04 Södermanland county","69 years","women",1807.0
"04 Södermanland county","70 years","men",1852.5
"04 Södermanland county","70 years","women",1898.5
"04 Södermanland county","71 years","men",1844.0
"04 Södermanland county","71 years","women",1950.0
"04 Södermanland county","72 years","men",1852.0
"04 Södermanland county","72 years","women",1967.0
"04 Södermanland county","73 years","men",1876.0
"04 Södermanland county","73 years","women",1914.5
"04 Södermanland county","74 years","men",1799.0
"04 Södermanland county","74 years","women",1914.5
"04 Södermanland county","75 years","men",1813.0
"04 Södermanland county","75 years","women",1891.0
"04 Södermanland county","76 years","men",1586.5
"04 Södermanland county","76 years","women",1663.5
"04 Södermanland county","77 years","men",1429.5
"04 Södermanland county","77 years","women",1453.5
"04 Södermanland county","78 years","men",1154.5
"04 Södermanland county","78 years","women",1263.0
"04 Södermanland county","79 years","men",1107.0
"04 Södermanland county","79 years","women",1159.5
"04 Södermanland county","80 years","men",1040.0
"04 Södermanland county","80 years","women",1165.5
"04 Södermanland county","81 years","men",965.0
"04 Södermanland county","81 years","women",1074.5
"04 Södermanland county","82 years","men",771.0
"04 Södermanland county","82 years","women",859.5
"04 Södermanland county","83 years","men",793.5
"04 Södermanland county","83 years","women",919.5
"04 Södermanland county","84 years","men",577.5
"04 Södermanland county","84 years","women",787.5
"04 Södermanland county","85 years","men",549.0
"04 Södermanland county","85 years","women",755.0
"04 Södermanland county","86 years","men",515.0
"04 Södermanland county","86 years","women",695.0
"04 Södermanland county","87 years","men",438.5
"04 Södermanland county","87 years","women",597.5
"04 Södermanland county","88 years","men",355.5
"04 Södermanland county","88 years","women",595.5
"04 Södermanland county","89 years","men",319.5
"04 Södermanland county","89 years","women",574.0
"04 Södermanland county","90 years","men",254.0
"04 Södermanland county","90 years","women",450.5
"04 Södermanland county","91 years","men",197.0
"04 Södermanland county","91 years","women",412.5
"04 Södermanland county","92 years","men",149.5
"04 Södermanland county","92 years","women",372.0
"04 Södermanland county","93 years","men",124.0
"04 Södermanland county","93 years","women",266.5
"04 Södermanland county","94 years","men",104.0
"04 Södermanland county","94 years","women",235.5
"04 Södermanland county","95 years","men",75.5
"04 Södermanland county","95 years","women",194.5
"04 Södermanland county","96 years","men",56.5
"04 Södermanland county","96 years","women",141.0
"04 Södermanland county","97 years","men",31.0
"04 Södermanland county","97 years","women",80.5
"04 Södermanland county","98 years","men",19.5
"04 Södermanland county","98 years","women",77.0
"04 Södermanland county","99 years","men",10.5
"04 Södermanland county","99 years","women",63.0
"04 Södermanland county","100+ years","men",20.5
"04 Södermanland county","100+ years","women",59.5
"05 Östergötland county","0 years","men",1311.0
"05 Östergötland county","0 years","women",1231.5
"05 Östergötland county","1 year","men",2645.5
"05 Östergötland county","1 year","women",2445.5
"05 Östergötland county","2 years","men",2642.5
"05 Östergötland county","2 years","women",2514.5
"05 Östergötland county","3 years","men",2882.0
"05 Östergötland county","3 years","women",2670.5
"05 Östergötland county","4 years","men",2871.0
"05 Östergötland county","4 years","women",2638.0
"05 Östergötland county","5 years","men",2822.0
"05 Östergötland county","5 years","women",2678.0
"05 Östergötland county","6 years","men",2839.5
"05 Östergötland county","6 years","women",2663.0
"05 Östergötland county","7 years","men",2822.0
"05 Östergötland county","7 years","women",2769.0
"05 Östergötland county","8 years","men",2779.0
"05 Östergötland county","8 years","women",2542.5
"05 Östergötland county","9 years","men",2919.5
"05 Östergötland county","9 years","women",2658.5
"05 Östergötland county","10 years","men",2832.5
"05 Östergötland county","10 years","women",2726.0
"05 Östergötland county","11 years","men",2832.0
"05 Östergötland county","11 years","women",2610.5
"05 Östergötland county","12 years","men",2757.0
"05 Östergötland county","12 years","women",2613.0
"05 Östergötland county","13 years","men",2752.5
"05 Östergötland county","13 years","women",2624.0
"05 Östergötland county","14 years","men",2674.5
"05 Östergötland county","14 years","women",2608.0
"05 Östergötland county","15 years","men",2691.5
"05 Östergötland county","15 years","women",2522.5
"05 Östergötland county","16 years","men",2624.5
"05 Östergötland county","16 years","women",2511.0
"05 Östergötland county","17 years","men",2638.0
"05 Östergötland county","17 years","women",2415.5
"05 Östergötland county","18 years","men",2555.5
"05 Östergötland county","18 years","women",2340.0
"05 Östergötland county","19 years","men",2780.5
"05 Östergötland county","19 years","women",2494.5
"05 Östergötland county","20 years","men",3063.5
"05 Östergötland county","20 years","women",2538.0
"05 Östergötland county","21 years","men",3125.5
"05 Östergötland county","21 years","women",2571.0
"05 Östergötland county","22 years","men",3079.5
"05 Östergötland county","22 years","women",2746.0
"05 Östergötland county","23 years","men",3304.5
"05 Östergötland county","23 years","women",2969.5
"05 Östergötland county","24 years","men",3525.0
"05 Östergötland county","24 years","women",3091.5
"05 Östergötland county","25 years","men",3659.5
"05 Östergötland county","25 years","women",3261.0
"05 Östergötland county","26 years","men",3761.5
"05 Östergötland county","26 years","women",3246.0
"05 Östergötland county","27 years","men",3603.5
"05 Östergötland county","27 years","women",3268.0
"05 Östergötland county","28 years","men",3744.5
"05 Östergötland county","28 years","women",3275.5
"05 Östergötland county","29 years","men",3588.0
"05 Östergötland county","29 years","women",3329.5
"05 Östergötland county","30 years","men",3349.5
"05 Östergötland county","30 years","women",3042.0
